target,train_years,val_years,test_years,test_accuracy,test_roc_auc,race_type
target_top10,"2021, 2022, 2023",2024,2025,0.7211328976034859,0.7152458705145244,gp
target_top3,"2021, 2022, 2023",2024,2025,0.803921568627451,0.8036789297658863,gp
target_win,"2021, 2022, 2023",2024,2025,0.9302832244008714,0.7984642999601117,gp
target_top8_sprint,"2021, 2022, 2023",2024,2025,0.7833333333333333,0.8075810185185185,sprint
target_top3_sprint,"2021, 2022, 2023",2024,2025,0.7916666666666666,0.8289760348583877,sprint
target_win_sprint,"2021, 2022, 2023",2024,2025,0.9583333333333334,0.827485380116959,sprint
