constructorId,year,constructorRef,constructor_name,constructor_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
1,2015,mclaren,McLaren,British,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,1.0,0.0
1,2016,mclaren,McLaren,British,38.0,23.0,0.6052631578947368,15.0,0.39473684210526316,6.0,0.15789473684210525,2.0,0.05263157894736842,4.0,0.10526315789473684,0.8421052631578947,0,0,6,27.0,0.7105263157894737,7.657894736842105,6.387802174496218,0.13535825356181672,0.43005540166204986
1,2017,mclaren,McLaren,British,80.0,56.0,0.7,24.0,0.3,13.0,0.1625,4.0,0.05,4.0,0.05,0.8375,0,0,23,103.0,1.2875,8.025,5.867228902983077,0.14561914480025662,0.90125
1,2018,mclaren,McLaren,British,120.0,81.0,0.675,39.0,0.325,22.0,0.18333333333333332,10.0,0.08333333333333333,4.0,0.03333333333333333,0.8166666666666667,0,0,31,133.0,1.1083333333333334,7.741666666666666,5.912551385729252,0.14466438572369517,0.748125
1,2019,mclaren,McLaren,British,162.0,115.0,0.7098765432098766,47.0,0.29012345679012347,28.0,0.1728395061728395,12.0,0.07407407407407407,4.0,0.024691358024691357,0.8271604938271605,0,0,44,195.0,1.2037037037037037,8.141975308641975,5.835044493943807,0.14630482667465447,0.8544810242341108
1,2020,mclaren,McLaren,British,204.0,149.0,0.7303921568627451,55.0,0.2696078431372549,33.0,0.16176470588235295,14.0,0.06862745098039216,5.0,0.024509803921568627,0.8382352941176471,0,1,68,340.0,1.6666666666666667,7.901960784313726,5.581850497716172,0.1519329556857891,1.2173202614379084
1,2021,mclaren,McLaren,British,238.0,179.0,0.7521008403361344,59.0,0.24789915966386555,35.0,0.14705882352941177,16.0,0.06722689075630252,5.0,0.02100840336134454,0.8529411764705882,0,3,93,542.0,2.277310924369748,7.697478991596639,5.400831902693815,0.15622969251530353,1.7127674599251463
1,2022,mclaren,McLaren,British,282.0,221.0,0.7836879432624113,61.0,0.21631205673758866,36.0,0.1276595744680851,17.0,0.06028368794326241,5.0,0.01773049645390071,0.8723404255319149,1,8,126,816.0,2.893617021276596,7.592198581560283,5.169503740699332,0.16208759116282617,2.2676927719933606
1,2023,mclaren,McLaren,British,326.0,260.0,0.7975460122699386,66.0,0.20245398773006135,39.0,0.1196319018404908,19.0,0.05828220858895705,5.0,0.015337423312883436,0.8803680981595092,1,9,150,966.0,2.96319018404908,7.723926380368098,5.128757301208827,0.16316521455381525,2.363280514885769
1,2024,mclaren,McLaren,British,370.0,300.0,0.8108108108108109,70.0,0.1891891891891892,41.0,0.11081081081081082,21.0,0.05675675675675676,5.0,0.013513513513513514,0.8891891891891892,1,18,177,1232.0,3.32972972972973,7.721621621621622,5.169642945228822,0.1620839340100437,2.6997808619430246
1,2025,mclaren,McLaren,British,418.0,348.0,0.8325358851674641,70.0,0.1674641148325359,41.0,0.09808612440191387,21.0,0.050239234449760764,5.0,0.011961722488038277,0.9019138755980861,7,39,223,1841.0,4.404306220095694,7.375598086124402,5.10371641972893,0.16383461013485462,3.6667429774959364
