driverId,year,driverRef,forename,surname,driver_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top8_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
1,2021,hamilton,Lewis,Hamilton,British,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,1.0,0.0
1,2022,hamilton,Lewis,Hamilton,British,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,3,2.0,0.6666666666666666,4.0,1.4142135623730951,0.4142135623730951,0.6666666666666666
1,2023,hamilton,Lewis,Hamilton,British,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,5,9.0,1.5,6.166666666666667,3.975620147292188,0.20097997242498825,1.5
1,2024,hamilton,Lewis,Hamilton,British,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,10,26.0,2.1666666666666665,6.25,3.294566233461799,0.2328523873280473,2.1666666666666665
1,2025,hamilton,Lewis,Hamilton,British,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,14,42.0,2.3333333333333335,6.777777777777778,3.808697000222802,0.20795654206402833,2.3333333333333335
4,2021,alonso,Fernando,Alonso,Spanish,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6,18,63.0,2.625,7.041666666666667,4.5044345433756225,0.18167170344562675,2.625
4,2022,alonso,Fernando,Alonso,Spanish,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,10.0,2.160246899469288,0.31643097258253267,0.0
4,2023,alonso,Fernando,Alonso,Spanish,6.0,5.0,0.8333333333333334,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,0,0,1,0.0,0.0,9.5,5.439056290693573,0.15530226089890053,0.0
4,2024,alonso,Fernando,Alonso,Spanish,12.0,10.0,0.8333333333333334,2.0,0.16666666666666666,1.0,0.08333333333333333,1.0,0.08333333333333333,0.0,0.0,0.8333333333333334,0,0,4,8.0,0.6666666666666666,8.333333333333334,5.005552472560401,0.16651257391706062,0.5555555555555556
4,2025,alonso,Fernando,Alonso,Spanish,18.0,15.0,0.8333333333333334,3.0,0.16666666666666666,1.0,0.05555555555555555,1.0,0.05555555555555555,1.0,0.05555555555555555,0.8333333333333334,0,0,4,8.0,0.4444444444444444,11.055555555555555,5.854459100380213,0.1458904321049243,0.37037037037037035
8,2021,raikkonen,Kimi,Räikkönen,Finnish,24.0,19.0,0.7916666666666666,5.0,0.20833333333333334,1.0,0.041666666666666664,1.0,0.041666666666666664,3.0,0.125,0.7916666666666666,0,0,6,13.0,0.5416666666666666,11.416666666666666,5.751207602659539,0.14812164857825802,0.4288194444444444
9,2021,kubica,Robert,Kubica,Polish,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,15.5,2.5,0.2857142857142857,0.0
20,2021,vettel,Sebastian,Vettel,German,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,18.0,0.0,1.0,0.0
20,2022,vettel,Sebastian,Vettel,German,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,10.0,1.6329931618554536,0.37979589711327105,0.0
807,2023,hulkenberg,Nico,Hülkenberg,German,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,11.833333333333334,3.6247605284885864,0.2162274119578704,0.0
807,2024,hulkenberg,Nico,Hülkenberg,German,6.0,5.0,0.8333333333333334,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.8333333333333334,0,0,1,3.0,0.5,11.833333333333334,6.568020165079341,0.1321349544778223,0.4166666666666667
807,2025,hulkenberg,Nico,Hülkenberg,German,12.0,10.0,0.8333333333333334,2.0,0.16666666666666666,1.0,0.08333333333333333,0.0,0.0,1.0,0.08333333333333333,0.8333333333333334,0,0,4,8.0,0.6666666666666666,12.583333333333334,6.343741447722751,0.13617037134526214,0.5555555555555556
815,2021,perez,Sergio,Pérez,Mexican,18.0,16.0,0.8888888888888888,2.0,0.1111111111111111,1.0,0.05555555555555555,0.0,0.0,1.0,0.05555555555555555,0.8888888888888888,0,0,4,8.0,0.4444444444444444,13.38888888888889,5.6385467876522215,0.1506353772876938,0.3950617283950617
815,2022,perez,Sergio,Pérez,Mexican,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,4.333333333333333,3.681787005729088,0.21359365532355554,0.0
815,2023,perez,Sergio,Pérez,Mexican,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,4,14.0,2.3333333333333335,4.333333333333333,2.6874192494328506,0.27119237937313656,2.3333333333333335
815,2024,perez,Sergio,Pérez,Mexican,12.0,10.0,0.8333333333333334,2.0,0.16666666666666666,0.0,0.0,1.0,0.08333333333333333,1.0,0.08333333333333333,0.8333333333333334,1,4,8,39.0,3.25,3.0833333333333335,2.5967394084804805,0.27802959470518646,2.7083333333333335
817,2021,ricciardo,Daniel,Ricciardo,Australian,18.0,16.0,0.8888888888888888,2.0,0.1111111111111111,0.0,0.0,1.0,0.05555555555555555,1.0,0.05555555555555555,0.8888888888888888,1,6,12,53.0,2.9444444444444446,4.888888888888889,4.665343727826003,0.1765117966432261,2.617283950617284
817,2022,ricciardo,Daniel,Ricciardo,Australian,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,2,1.0,0.3333333333333333,6.666666666666667,3.299831645537221,0.23256724505432583,0.3333333333333333
817,2023,ricciardo,Daniel,Ricciardo,Australian,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,3,4.0,0.6666666666666666,8.166666666666666,3.3374973990834658,0.23054768867672518,0.6666666666666666
817,2024,ricciardo,Daniel,Ricciardo,Australian,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,3,4.0,0.4444444444444444,8.88888888888889,2.9979416807182298,0.2501287111872903,0.4444444444444444
822,2021,bottas,Valtteri,Bottas,Finnish,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,4,9.0,0.75,9.083333333333334,3.3530665897884497,0.22972311113866928,0.75
822,2022,bottas,Valtteri,Bottas,Finnish,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,3,7.0,2.3333333333333335,1.6666666666666667,0.9428090415820631,0.5147186257614298,2.3333333333333335
822,2023,bottas,Valtteri,Bottas,Finnish,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,4,9.0,1.5,6.0,4.83045891539648,0.17151308576402147,1.5
822,2024,bottas,Valtteri,Bottas,Finnish,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,4,9.0,0.75,10.833333333333334,6.387922632245598,0.13535604658816586,0.75
825,2022,kevin_magnussen,Kevin,Magnussen,Danish,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,4,9.0,0.5,12.333333333333334,5.887840577551897,0.14518338349164056,0.5
825,2023,kevin_magnussen,Kevin,Magnussen,Danish,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,3,4.0,1.3333333333333333,7.666666666666667,0.4714045207910233,0.6796227589829631,1.3333333333333333
825,2024,kevin_magnussen,Kevin,Magnussen,Danish,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,3,4.0,0.4444444444444444,12.222222222222221,3.6750745352313845,0.21390033302442454,0.4444444444444444
830,2021,max_verstappen,Max,Verstappen,Dutch,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,4,6.0,0.42857142857142855,11.714285714285714,3.768830273792264,0.2096950284634016,0.42857142857142855
830,2022,max_verstappen,Max,Verstappen,Dutch,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,3,7.0,2.3333333333333335,1.6666666666666667,0.4714045207910313,0.6796227589829594,2.3333333333333335
830,2023,max_verstappen,Max,Verstappen,Dutch,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5,6,28.0,4.666666666666667,1.8333333333333333,1.067187372905475,0.48374908491941837,4.666666666666667
830,2024,max_verstappen,Max,Verstappen,Dutch,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,11,12,73.0,6.083333333333333,1.6666666666666667,0.9428090415820631,0.5147186257614298,6.083333333333333
830,2025,max_verstappen,Max,Verstappen,Dutch,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,15,18,111.0,6.166666666666667,2.0,1.7638342073763935,0.3618162034940813,6.166666666666667
832,2021,sainz,Carlos,Sainz,Spanish,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13,18,23,143.0,5.958333333333333,2.75,3.4064889059949497,0.2269380500741799,5.958333333333333
832,2022,sainz,Carlos,Sainz,Spanish,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,2,1.0,0.3333333333333333,7.0,3.2659863237109037,0.23441237831492118,0.3333333333333333
832,2023,sainz,Carlos,Sainz,Spanish,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,5,19.0,3.1666666666666665,5.0,3.1091263510296048,0.24336073281110826,3.1666666666666665
832,2024,sainz,Carlos,Sainz,Spanish,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,11,41.0,3.4166666666666665,5.166666666666667,2.4776781245530843,0.28754817558870827,3.4166666666666665
832,2025,sainz,Carlos,Sainz,Spanish,18.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,17,69.0,3.8333333333333335,4.888888888888889,2.157387537660844,0.31671753564367705,3.8333333333333335
839,2021,ocon,Esteban,Ocon,French,24.0,23.0,0.9583333333333334,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,0.9583333333333334,0,6,20,79.0,3.2916666666666665,6.458333333333333,4.415683852914392,0.18464888777838476,3.154513888888889
839,2022,ocon,Esteban,Ocon,French,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,10.666666666666666,1.699673171197598,0.37041520828107927,0.0
839,2023,ocon,Esteban,Ocon,French,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,3.0,0.5,11.833333333333334,3.8908725099762465,0.20446249579399828,0.5
839,2024,ocon,Esteban,Ocon,French,12.0,11.0,0.9166666666666666,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.9166666666666666,0,0,2,5.0,0.4166666666666667,10.833333333333334,4.946940693218609,0.16815368633830766,0.3819444444444444
839,2025,ocon,Esteban,Ocon,French,18.0,17.0,0.9444444444444444,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.9444444444444444,0,0,2,5.0,0.2777777777777778,11.722222222222221,4.3051075035687525,0.1884975939370312,0.2623456790123457
