driverId,year,driverRef,forename,surname,driver_nationality,sessions_count,sessions_quali,sessions_rate,top5_finishes,top10_finishes,top10_rate,pole_count,pole_rate,front_row_count,front_row_rate,q2_appearances,q3_appearances,q3_rate,avg_quali_position,std_quali_position,consistency_index,performance_score
1,2015,hamilton,Lewis,Hamilton,British,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,1.0,0.05
1,2016,hamilton,Lewis,Hamilton,British,19.0,19.0,1.0,19,19,1.0,11,0.5789473684210527,18,0.9473684210526315,19.0,19.0,1.0,1.5789473684210527,0.9355994123490091,0.5166358253779473,0.9710526315789474
1,2017,hamilton,Lewis,Hamilton,British,40.0,40.0,1.0,36,38,0.95,23,0.575,33,0.825,40.0,40.0,1.0,2.925,4.713743204715335,0.17501661593309584,0.9037499999999999
1,2018,hamilton,Lewis,Hamilton,British,60.0,60.0,1.0,54,56,0.9333333333333333,34,0.5666666666666667,46,0.7666666666666667,60.0,60.0,1.0,3.0833333333333335,4.744441191776143,0.17408133648084345,0.8958333333333334
1,2019,hamilton,Lewis,Hamilton,British,81.0,81.0,1.0,74,76,0.9382716049382716,45,0.5555555555555556,60,0.7407407407407407,81.0,81.0,1.0,2.925925925925926,4.334124650761695,0.18747218437371974,0.9037037037037037
1,2020,hamilton,Lewis,Hamilton,British,102.0,102.0,1.0,95,97,0.9509803921568627,50,0.49019607843137253,74,0.7254901960784313,102.0,102.0,1.0,2.7941176470588234,3.9015789546157267,0.20401589146254973,0.9102941176470589
1,2021,hamilton,Lewis,Hamilton,British,118.0,118.0,1.0,110,113,0.9576271186440678,60,0.5084745762711864,88,0.7457627118644068,118.0,118.0,1.0,2.6440677966101696,3.6765989804709776,0.21383060728018433,0.9177966101694915
1,2022,hamilton,Lewis,Hamilton,British,140.0,140.0,1.0,131,135,0.9642857142857143,68,0.4857142857142857,105,0.75,140.0,140.0,1.0,2.5642857142857145,3.4251396515548183,0.2259815686604692,0.9217857142857143
1,2023,hamilton,Lewis,Hamilton,British,162.0,162.0,1.0,142,155,0.9567901234567902,68,0.41975308641975306,105,0.6481481481481481,162.0,162.0,1.0,3.0864197530864197,3.6216002562955425,0.2163752692885544,0.8956790123456789
1,2024,hamilton,Lewis,Hamilton,British,184.0,184.0,1.0,153,173,0.9402173913043478,69,0.375,106,0.5760869565217391,184.0,184.0,1.0,3.4782608695652173,3.7255821280461174,0.21161414041775828,0.8760869565217391
1,2025,hamilton,Lewis,Hamilton,British,208.0,208.0,1.0,159,191,0.9182692307692307,69,0.3317307692307692,107,0.5144230769230769,208.0,208.0,1.0,4.0576923076923075,4.176000393910521,0.19319936705887492,0.8471153846153847
3,2015,rosberg,Nico,Rosberg,German,231.0,231.0,1.0,168,206,0.8917748917748918,69,0.2987012987012987,107,0.46320346320346323,231.0,231.0,1.0,4.523809523809524,4.4544928667188985,0.18333510088565594,0.8238095238095238
3,2016,rosberg,Nico,Rosberg,German,19.0,19.0,1.0,18,19,1.0,7,0.3684210526315789,15,0.7894736842105263,19.0,19.0,1.0,2.0526315789473686,1.234319936795639,0.447563477159925,0.9473684210526315
4,2015,alonso,Fernando,Alonso,Spanish,40.0,40.0,1.0,39,40,1.0,15,0.375,36,0.9,40.0,40.0,1.0,1.825,0.9457140159688867,0.5139501446732605,0.95875
4,2016,alonso,Fernando,Alonso,Spanish,18.0,18.0,1.0,0,0,0.0,0,0.0,0,0.0,18.0,18.0,1.0,15.555555555555555,2.2662308949301315,0.30616329101295553,0.27222222222222225
4,2017,alonso,Fernando,Alonso,Spanish,37.0,37.0,1.0,0,8,0.21621621621621623,0,0.0,0,0.0,37.0,37.0,1.0,13.72972972972973,3.2850903862561958,0.23336730613836168,0.3635135135135135
4,2018,alonso,Fernando,Alonso,Spanish,56.0,56.0,1.0,0,15,0.26785714285714285,0,0.0,0,0.0,56.0,56.0,1.0,12.946428571428571,3.2810039995248332,0.23359006441269253,0.40267857142857144
4,2021,alonso,Fernando,Alonso,Spanish,77.0,77.0,1.0,0,17,0.22077922077922077,0,0.0,0,0.0,77.0,77.0,1.0,13.064935064935066,3.196335817482433,0.23830313957092789,0.39675324675324675
4,2022,alonso,Fernando,Alonso,Spanish,99.0,99.0,1.0,1,28,0.2828282828282828,0,0.0,0,0.0,99.0,99.0,1.0,12.606060606060606,3.314547615484926,0.23177400949545593,0.41969696969696973
4,2023,alonso,Fernando,Alonso,Spanish,121.0,121.0,1.0,4,46,0.38016528925619836,0,0.0,1,0.008264462809917356,121.0,121.0,1.0,11.818181818181818,3.670296225124793,0.21411918041093408,0.4590909090909091
4,2024,alonso,Fernando,Alonso,Spanish,143.0,143.0,1.0,13,66,0.46153846153846156,0,0.0,3,0.02097902097902098,143.0,143.0,1.0,11.076923076923077,4.059137879249014,0.1976621360927292,0.49615384615384617
4,2025,alonso,Fernando,Alonso,Spanish,167.0,167.0,1.0,16,82,0.49101796407185627,0,0.0,3,0.017964071856287425,167.0,167.0,1.0,10.874251497005988,4.100795367161849,0.19604785685735387,0.5062874251497006
8,2015,raikkonen,Kimi,Räikkönen,Finnish,190.0,190.0,1.0,18,94,0.49473684210526314,0,0.0,3,0.015789473684210527,190.0,190.0,1.0,10.836842105263157,4.027498966162213,0.1989060578093682,0.5081578947368421
8,2016,raikkonen,Kimi,Räikkönen,Finnish,19.0,19.0,1.0,10,15,0.7894736842105263,0,0.0,1,0.05263157894736842,19.0,19.0,1.0,6.894736842105263,4.327327324440939,0.18771138679843405,0.7052631578947368
8,2017,raikkonen,Kimi,Räikkönen,Finnish,40.0,40.0,1.0,25,35,0.875,0,0.0,1,0.025,40.0,40.0,1.0,5.925,3.5241133636703577,0.22103778566430798,0.7537499999999999
8,2018,raikkonen,Kimi,Räikkönen,Finnish,60.0,60.0,1.0,43,55,0.9166666666666666,1,0.016666666666666666,6,0.1,60.0,60.0,1.0,5.216666666666667,3.162760749022214,0.24022519195581657,0.7891666666666667
8,2019,raikkonen,Kimi,Räikkönen,Finnish,81.0,81.0,1.0,60,76,0.9382716049382716,2,0.024691358024691357,10,0.12345679012345678,81.0,81.0,1.0,4.864197530864198,2.8792706827745906,0.2577804133236624,0.8067901234567902
8,2020,raikkonen,Kimi,Räikkönen,Finnish,102.0,102.0,1.0,61,84,0.8235294117647058,2,0.0196078431372549,10,0.09803921568627451,102.0,102.0,1.0,6.401960784313726,4.30517200112219,0.1884953022802036,0.7299019607843137
8,2021,raikkonen,Kimi,Räikkönen,Finnish,119.0,119.0,1.0,61,85,0.7142857142857143,2,0.01680672268907563,10,0.08403361344537816,119.0,119.0,1.0,7.8655462184873945,5.483243182103302,0.15424379001553645,0.6567226890756303
9,2019,kubica,Robert,Kubica,Polish,139.0,139.0,1.0,61,85,0.6115107913669064,2,0.014388489208633094,10,0.07194244604316546,139.0,139.0,1.0,9.0,5.834652129101262,0.14631322576640007,0.6
9,2021,kubica,Robert,Kubica,Polish,21.0,21.0,1.0,0,0,0.0,0,0.0,0,0.0,21.0,21.0,1.0,19.523809523809526,0.7315376902731565,0.5775213589732755,0.07380952380952373
13,2015,massa,Felipe,Massa,Brazilian,23.0,23.0,1.0,0,0,0.0,0,0.0,0,0.0,23.0,23.0,1.0,19.434782608695652,0.7704367455073348,0.5648323796586366,0.07826086956521738
13,2016,massa,Felipe,Massa,Brazilian,19.0,19.0,1.0,6,16,0.8421052631578947,0,0.0,0,0.0,19.0,19.0,1.0,7.7894736842105265,3.805521575268467,0.208093956990326,0.6605263157894736
13,2017,massa,Felipe,Massa,Brazilian,40.0,40.0,1.0,7,28,0.7,0,0.0,0,0.0,40.0,40.0,1.0,9.225,3.8176399777873247,0.20757051265987006,0.58875
18,2015,button,Jenson,Button,British,59.0,59.0,1.0,7,39,0.6610169491525424,0,0.0,0,0.0,59.0,59.0,1.0,9.694915254237289,3.78782276037364,0.20886320359986768,0.5652542372881355
18,2016,button,Jenson,Button,British,17.0,17.0,1.0,0,0,0.0,0,0.0,0,0.0,17.0,17.0,1.0,15.764705882352942,2.1012436587637255,0.3224512840757047,0.2617647058823529
18,2017,button,Jenson,Button,British,38.0,38.0,1.0,1,4,0.10526315789473684,0,0.0,0,0.0,38.0,38.0,1.0,14.263157894736842,3.225590199167272,0.23665333192912744,0.3368421052631579
20,2015,vettel,Sebastian,Vettel,German,39.0,39.0,1.0,1,5,0.1282051282051282,0,0.0,0,0.0,39.0,39.0,1.0,14.128205128205128,3.2908535809506545,0.23305386239221107,0.3435897435897436
20,2016,vettel,Sebastian,Vettel,German,19.0,19.0,1.0,15,17,0.8947368421052632,1,0.05263157894736842,3,0.15789473684210525,19.0,19.0,1.0,4.894736842105263,4.153562033041865,0.1940405477975308,0.8052631578947368
20,2017,vettel,Sebastian,Vettel,German,40.0,40.0,1.0,30,37,0.925,1,0.025,4,0.1,40.0,40.0,1.0,5.1,4.0484564959994325,0.19808034411952125,0.795
20,2018,vettel,Sebastian,Vettel,German,60.0,60.0,1.0,48,56,0.9333333333333333,5,0.08333333333333333,17,0.2833333333333333,60.0,60.0,1.0,4.5,4.157322856518763,0.19389904953032328,0.825
20,2019,vettel,Sebastian,Vettel,German,81.0,81.0,1.0,68,77,0.9506172839506173,10,0.12345679012345678,28,0.345679012345679,81.0,81.0,1.0,4.012345679012346,3.7728524335632705,0.20951831507881535,0.8493827160493828
20,2020,vettel,Sebastian,Vettel,German,102.0,102.0,1.0,85,97,0.9509803921568627,12,0.11764705882352941,34,0.3333333333333333,102.0,102.0,1.0,4.088235294117647,3.835088109467862,0.20682146371683338,0.8455882352941178
20,2021,vettel,Sebastian,Vettel,German,119.0,119.0,1.0,86,100,0.8403361344537815,12,0.10084033613445378,34,0.2857142857142857,119.0,119.0,1.0,5.2521008403361344,4.660252972891475,0.17667054896473322,0.7873949579831934
20,2022,vettel,Sebastian,Vettel,German,141.0,141.0,1.0,87,107,0.7588652482269503,12,0.0851063829787234,34,0.24113475177304963,141.0,141.0,1.0,6.2695035460992905,5.035870525749753,0.16567618469181522,0.7365248226950355
154,2015,grosjean,Romain,Grosjean,French,161.0,161.0,1.0,87,112,0.6956521739130435,12,0.07453416149068323,34,0.2111801242236025,161.0,161.0,1.0,7.273291925465839,5.568308258806267,0.15224620413624457,0.6863354037267081
154,2016,grosjean,Romain,Grosjean,French,19.0,19.0,1.0,2,12,0.631578947368421,0,0.0,0,0.0,19.0,19.0,1.0,9.842105263157896,2.8146825172886154,0.26214501350187747,0.5578947368421052
154,2017,grosjean,Romain,Grosjean,French,40.0,40.0,1.0,2,15,0.375,0,0.0,0,0.0,40.0,40.0,1.0,11.7,3.5440090293338704,0.22006998523649393,0.465
154,2018,grosjean,Romain,Grosjean,French,60.0,60.0,1.0,2,20,0.3333333333333333,0,0.0,0,0.0,60.0,60.0,1.0,12.416666666666666,3.852668627789781,0.20607217939286013,0.4291666666666667
154,2019,grosjean,Romain,Grosjean,French,81.0,81.0,1.0,4,36,0.4444444444444444,0,0.0,0,0.0,81.0,81.0,1.0,11.802469135802468,4.164576521937387,0.19362671765097017,0.4598765432098766
154,2020,grosjean,Romain,Grosjean,French,102.0,102.0,1.0,4,45,0.4411764705882353,0,0.0,0,0.0,102.0,102.0,1.0,11.833333333333334,4.097065744214788,0.19619130891827485,0.4583333333333333
807,2015,hulkenberg,Nico,Hülkenberg,German,117.0,117.0,1.0,4,45,0.38461538461538464,0,0.0,0,0.0,117.0,117.0,1.0,12.495726495726496,4.241883011205162,0.19077114042079507,0.4252136752136752
807,2016,hulkenberg,Nico,Hülkenberg,German,19.0,19.0,1.0,1,10,0.5263157894736842,0,0.0,0,0.0,19.0,19.0,1.0,10.052631578947368,3.3477987144819465,0.23000144801302125,0.5473684210526316
807,2017,hulkenberg,Nico,Hülkenberg,German,40.0,40.0,1.0,4,28,0.7,0,0.0,0,0.0,40.0,40.0,1.0,9.125,2.9680591301387516,0.252012373607203,0.59375
807,2018,hulkenberg,Nico,Hülkenberg,German,60.0,60.0,1.0,4,40,0.6666666666666666,0,0.0,0,0.0,60.0,60.0,1.0,9.266666666666667,2.897508508280096,0.25657416728547,0.5866666666666667
807,2019,hulkenberg,Nico,Hülkenberg,German,81.0,81.0,1.0,4,51,0.6296296296296297,0,0.0,0,0.0,81.0,81.0,1.0,9.666666666666666,3.0429030972509263,0.2473470117747752,0.5666666666666667
807,2020,hulkenberg,Nico,Hülkenberg,German,102.0,102.0,1.0,4,60,0.5882352941176471,0,0.0,0,0.0,102.0,102.0,1.0,9.941176470588236,3.121159693383729,0.24265014568725377,0.5529411764705883
807,2022,hulkenberg,Nico,Hülkenberg,German,105.0,105.0,1.0,5,61,0.580952380952381,0,0.0,0,0.0,105.0,105.0,1.0,10.0,3.312314684843301,0.23189402283528796,0.55
807,2023,hulkenberg,Nico,Hülkenberg,German,107.0,107.0,1.0,5,61,0.5700934579439252,0,0.0,0,0.0,107.0,107.0,1.0,10.14018691588785,3.435517069548032,0.22545285799157064,0.5429906542056074
807,2024,hulkenberg,Nico,Hülkenberg,German,129.0,129.0,1.0,6,69,0.5348837209302325,0,0.0,1,0.007751937984496124,129.0,129.0,1.0,10.48062015503876,3.634675326860266,0.21576484423935777,0.5259689922480619
807,2025,hulkenberg,Nico,Hülkenberg,German,153.0,153.0,1.0,7,80,0.5228758169934641,0,0.0,1,0.006535947712418301,153.0,153.0,1.0,10.673202614379084,3.70449305954654,0.2125627538063344,0.5163398692810458
813,2015,maldonado,Pastor,Maldonado,Venezuelan,176.0,176.0,1.0,7,81,0.4602272727272727,0,0.0,1,0.005681818181818182,176.0,176.0,1.0,11.204545454545455,3.869047013592417,0.20537899864355447,0.48977272727272725
814,2017,resta,Paul,di Resta,British,19.0,19.0,1.0,0,4,0.21052631578947367,0,0.0,0,0.0,19.0,19.0,1.0,12.421052631578947,2.8711961467338645,0.258318091384675,0.42894736842105263
815,2015,perez,Sergio,Pérez,Mexican,1.0,1.0,1.0,0,0,0.0,0,0.0,0,0.0,1.0,1.0,1.0,19.0,0.0,1.0,0.1
815,2016,perez,Sergio,Pérez,Mexican,19.0,19.0,1.0,2,9,0.47368421052631576,0,0.0,0,0.0,19.0,19.0,1.0,10.68421052631579,3.920964322566141,0.20321220282258193,0.5157894736842106
815,2017,perez,Sergio,Pérez,Mexican,40.0,40.0,1.0,3,23,0.575,0,0.0,1,0.025,40.0,40.0,1.0,10.025,3.704642357907168,0.2125560082838781,0.54875
815,2018,perez,Sergio,Pérez,Mexican,60.0,60.0,1.0,3,38,0.6333333333333333,0,0.0,1,0.016666666666666666,60.0,60.0,1.0,9.783333333333333,3.445246322430694,0.22495941224989133,0.5608333333333333
815,2019,perez,Sergio,Pérez,Mexican,81.0,81.0,1.0,4,48,0.5925925925925926,0,0.0,1,0.012345679012345678,81.0,81.0,1.0,10.209876543209877,3.5406494814074025,0.22023281120788996,0.5395061728395062
815,2020,perez,Sergio,Pérez,Mexican,102.0,102.0,1.0,5,53,0.5196078431372549,0,0.0,1,0.00980392156862745,102.0,102.0,1.0,10.852941176470589,3.7583816365493723,0.21015548486463317,0.5073529411764706
815,2021,perez,Sergio,Pérez,Mexican,117.0,117.0,1.0,13,65,0.5555555555555556,0,0.0,1,0.008547008547008548,117.0,117.0,1.0,10.367521367521368,4.007681279867002,0.1996932200977772,0.5316239316239316
815,2022,perez,Sergio,Pérez,Mexican,139.0,139.0,1.0,25,84,0.60431654676259,0,0.0,2,0.014388489208633094,139.0,139.0,1.0,9.741007194244604,4.164492126179733,0.19362988180983398,0.5629496402877698
