driverId,year,driverRef,forename,surname,driver_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
1,2015,hamilton,Lewis,Hamilton,British,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,,1.0,0.0
1,2016,hamilton,Lewis,Hamilton,British,19.0,18.0,0.9473684210526315,1.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.9473684210526316,10,17,18,381.0,20.05263157894737,1.631578947368421,1.223047372486553,0.4498329690929917,18.997229916897506
1,2017,hamilton,Lewis,Hamilton,British,40.0,37.0,0.925,3.0,0.075,2.0,0.05,1.0,0.025,0.0,0.0,0.95,20,34,37,761.0,19.025,1.775,1.4575235847148411,0.4069136940209813,17.598125
1,2018,hamilton,Lewis,Hamilton,British,60.0,57.0,0.95,3.0,0.05,2.0,0.03333333333333333,1.0,0.016666666666666666,0.0,0.0,0.9666666666666667,29,47,57,1124.0,18.733333333333334,2.0833333333333335,1.8008485654145254,0.3570346545501292,17.796666666666667
1,2019,hamilton,Lewis,Hamilton,British,81.0,77.0,0.9506172839506173,4.0,0.04938271604938271,3.0,0.037037037037037035,1.0,0.012345679012345678,0.0,0.0,0.962962962962963,40,64,77,1532.0,18.91358024691358,2.0246913580246915,1.684902522307567,0.37245300031992956,17.979576284103032
1,2020,hamilton,Lewis,Hamilton,British,102.0,98.0,0.9607843137254902,4.0,0.0392156862745098,3.0,0.029411764705882353,1.0,0.00980392156862745,0.0,0.0,0.9705882352941176,51,81,98,1945.0,19.068627450980394,2.0980392156862746,1.7960184937340369,0.3576514254970168,18.32083813917724
1,2021,hamilton,Lewis,Hamilton,British,118.0,114.0,0.9661016949152542,4.0,0.03389830508474576,3.0,0.025423728813559324,1.0,0.00847457627118644,0.0,0.0,0.9745762711864406,62,95,114,2292.0,19.423728813559322,2.0677966101694913,1.7742451895188789,0.3604584064083478,18.76529732835392
1,2022,hamilton,Lewis,Hamilton,British,140.0,135.0,0.9642857142857143,5.0,0.03571428571428571,3.0,0.02142857142857143,2.0,0.014285714285714285,0.0,0.0,0.9785714285714285,70,112,134,2677.5,19.125,2.157142857142857,2.0503359605246185,0.3278327413574513,18.441964285714285
1,2023,hamilton,Lewis,Hamilton,British,162.0,156.0,0.9629629629629629,6.0,0.037037037037037035,3.0,0.018518518518518517,3.0,0.018518518518518517,0.0,0.0,0.9814814814814815,70,121,153,2910.5,17.96604938271605,2.5617283950617282,2.6409438969753785,0.2746540535356023,17.30064014631916
1,2024,hamilton,Lewis,Hamilton,British,184.0,177.0,0.9619565217391305,7.0,0.03804347826086957,3.0,0.016304347826086956,4.0,0.021739130434782608,0.0,0.0,0.9836956521739131,70,127,173,3127.5,16.997282608695652,2.7880434782608696,2.6852391356266474,0.27135281136374817,16.350646857277884
